,guest_email,has_rewards,room_type,amenities_fee,checkin_date,checkout_date,room_rate,billing_address,credit_card_number
0,dsullivan@example.net,False,BASIC,8.324971454604583,04 Apr 2020,23 Apr 2020,146.83450680620885,"90469 Karla Knolls Apt. 781
Susanberg, NC 28401",5161033759518983
1,steven59@example.org,False,BASIC,,27 Jun 2020,16 Aug 2020,185.49781327742198,"1080 Ashley Creek Apt. 622
West Amy, NM 25058",4133047413145475690
2,brandon15@example.net,False,BASIC,22.269157666462288,13 Apr 2020,07 Apr 2020,151.11552809699128,"99923 Anderson Trace Suite 861
North Haley, TX 76565",4977328103788
3,humphreyjennifer@example.net,False,BASIC,25.468647378466642,22 May 2020,08 Jun 2020,182.46803082474818,"9301 John Parkways
Thomasland, OH 61350",3524946844839485
4,joshuabrown@example.net,False,BASIC,19.77831051983809,14 Nov 2019,27 Oct 2019,195.4977430212012,"126 George Tunnel
Duranstad, MS 95176",4446905799576890978
5,moondavid@example.com,False,BASIC,,30 Oct 2020,17 Nov 2020,88.24723172368333,"812 Kimberly Forges
East Brianafurt, AR 16834",4265310195602383
6,patty61@example.com,False,BASIC,16.670850840520256,07 Oct 2020,30 Aug 2020,83.8,"7999 Sheila Forges Apt. 089
West Briannahaven, MD 08696",30279530784085
7,michellehill@example.net,False,SUITE,13.991604948316214,01 Sep 2020,28 Aug 2020,204.26698232657495,"79445 Brandon Plains Apt. 024
Port Cynthiaport, NE 08276",2285102384715773
8,loganosborne@example.org,False,BASIC,18.410008230158535,09 Sep 2020,04 Sep 2020,128.38470705810693,"522 Davis Street
New Cole, AZ 17369",3541571714584497
9,gkey@example.org,False,BASIC,27.61667671134569,20 Oct 2020,22 Nov 2020,217.61792641541007,"77972 Wendy Lake Apt. 933
Kelseyhaven, WI 35555",676377598427
10,maykimberly@example.com,True,BASIC,,11 Sep 2020,26 Aug 2020,265.8850416995537,"51118 Michael Spur Apt. 742
Tamarashire, DE 99731",3592111594414982
11,josephknight@example.com,False,BASIC,22.794530757664155,23 Aug 2020,17 Aug 2020,176.66033212482097,"391 Lauren Forest Suite 711
Wardshire, GA 48480",4574626038921
12,nmoses@example.com,False,DELUXE,36.28160067453051,17 Nov 2020,01 Nov 2020,161.32034116461028,"985 William Unions
Edwardville, TX 01442",4646817800502538962
13,hamptonemma@example.net,True,BASIC,0.0,21 Jun 2020,29 May 2020,114.57487302885735,"704 Acosta Stravenue
Hernandezmouth, CO 97599",2264002136181479
14,paula75@example.org,False,BASIC,24.972812734609022,25 Dec 2020,,139.33379535477368,"67341 Gill Springs Suite 388
Lake Josephshire, UT 92093",348818694390143
15,zmurray@example.com,False,DELUXE,18.782952415589953,27 Jul 2020,13 Sep 2020,161.38475758488354,"37309 Garza Cove Suite 313
West Kennethport, SD 37417",343590529390078
16,rfletcher@example.net,False,BASIC,27.457634716269332,08 Jul 2020,31 Jul 2020,200.69212827354295,"83607 Morrison Views
Jenniferbury, DE 23988",6011030313305873
17,ruizcameron@example.org,False,BASIC,17.468036439210223,09 Feb 2021,05 Feb 2021,137.70215902896524,"5744 Petersen Causeway Suite 324
South Vanessa, MN 82285",6530016426177590
18,smithsara@example.org,False,SUITE,26.470384234939814,15 Jun 2020,21 Jun 2020,273.1336916047256,"PSC 9486, Box 4682
APO AA 98819",3531337373719044
19,maria62@example.com,False,BASIC,11.31438810905522,20 Jun 2020,24 May 2020,253.6590185788652,"343 Baldwin Rest Apt. 946
East Hollyview, MD 25529",4063896844978
20,edwardstammy@example.com,False,BASIC,,17 Mar 2020,07 Jun 2020,154.42119444294693,"445 Nicole Plaza Apt. 276
Eatonfurt, DC 16419",3584822997257725
21,catherinemccormick@example.net,False,BASIC,3.3080920687225994,31 May 2020,,86.15056199236305,"90441 Jaime Junctions Apt. 861
New Elizabethview, MA 60325",376430801126546
